Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  i have an issue with driver 10:53 am beh...      Open      26 Mar, 26     #12009335
  bus quality and hygiene issue 9:57 am bu... [R]  Open      26 Mar, 26     #12008878
  i had an issue with driver 8:49 am drivi... [R]  Open      26 Mar, 26     #12008161
  i had an issue with driver 7:44 am drivi... [R]  Open      26 Mar, 26     #12007038
  i had an issue with driver 12:01 am beha... [R]  Open      25 Mar, 26     #12005011
  i had an issue with driver 11:53 pm othe... [R]  Open      25 Mar, 26     #12004951
  i had an issue with driver 10:36 pm driv... [R]  Open      25 Mar, 26     #12004153
  i had an issue with driver 10:27 pm didn... [R]  Open      25 Mar, 26     #12004004
  i had an issue with driver 10:08 pm driv... [R]  Open      25 Mar, 26     #12003715
  i had an issue with driver 10:04 pm othe... [R]  Open      25 Mar, 26     #12003644
  i had an issue with driver 9:46 pm other... [R]  Open      25 Mar, 26     #12003397
  i had an issue with driver 9:44 pm behav... [R]  Open      25 Mar, 26     #12003365
  i had an issue with driver 9:37 pm drivi... [R]  Open      25 Mar, 26     #12003278
  i had an issue with driver 9:25 pm behav... [R]  Open      25 Mar, 26     #12003124
  i have an issue with driver 7:45 pm didn...      Open      25 Mar, 26     #12002004
  i had an issue with driver 5:51 pm honki... [R]  Open      25 Mar, 26     #12000095
  i had an issue with driver 5:44 pm other... [R]  Open      25 Mar, 26     #11999901
  i had an issue with driver 5:26 pm drivi... [R]  Open      25 Mar, 26     #11999573
  i had an issue with driver 4:46 pm drivi... [R]  Open      25 Mar, 26     #11998662
  i had an issue with driver 4:31 pm other... [R]  Open      25 Mar, 26     #11998389
  i had an issue with driver 12:27 pm driv... [R]  Open      25 Mar, 26     #11995770
  i had an issue with driver 10:37 am othe... [R]  Open      25 Mar, 26     #11994904
  i had an issue with driver 10:15 am didn... [R]  Open      25 Mar, 26     #11994690
  i had an issue with driver 9:46 am drivi... [R]  Open      25 Mar, 26     #11994352
  i had an issue with driver 9:41 am drivi... [R]  Open      25 Mar, 26     #11994302
  i have an issue with driver 9:34 am beha... [R]  Open      25 Mar, 26     #11994223
  i had an issue with driver 9:20 am drivi...      Open      25 Mar, 26     #11994077
  i had an issue with driver 9:09 am drivi... [R]  Open      25 Mar, 26     #11993955
  i had an issue with driver 8:57 am drivi... [R]  Open      25 Mar, 26     #11993787
  i had an issue with driver 8:56 am drivi...      Open      25 Mar, 26     #11993764
  suggestions: route, timing, stop 7:57 am... [R]  Open      25 Mar, 26     #11992489
  i had an issue with driver 12:43 am didn...      Open      24 Mar, 26     #11989591
  i had an issue with driver 10:36 pm took... [R]  Open      24 Mar, 26     #11988360
  i had an issue with driver 10:11 pm driv... [R]  Open      24 Mar, 26     #11988009
  i had an issue with driver 9:45 pm didn'... [R]  Open      24 Mar, 26     #11987691
  i had an issue with driver 9:39 pm drivi... [R]  Open      24 Mar, 26     #11987611
  i had an issue with driver 9:06 pm honki... [R]  Open      24 Mar, 26     #11987204
  i had an issue with driver 8:56 pm other... [R]  Open      24 Mar, 26     #11987078
  i have an issue with driver 7:53 pm othe... [R]  Open      24 Mar, 26     #11986362
  i had an issue with driver 7:34 pm drivi... [R]  Open      24 Mar, 26     #11986101
  i had an issue with driver 6:21 pm didn'... [R]  Open      24 Mar, 26     #11984857
  i had an issue with driver 1:27 pm drivi... [R]  Open      24 Mar, 26     #11980423
  my seat had a problem 12:18 pm footrest ... [R]  Open      24 Mar, 26     #11979974
  i had an issue with driver 11:38 am didn... [R]  Open      24 Mar, 26     #11979677
  i had an issue with driver 11:36 am didn... [R]  Open      24 Mar, 26     #11979662
  i had an issue with driver 10:20 am driv... [R]  Open      24 Mar, 26     #11979062
  i had an issue with driver 10:17 am driv... [R]  Open      24 Mar, 26     #11979031
  i had an issue with driver 9:55 am didn'... [R]  Open      24 Mar, 26     #11978816
  i have an issue with driver 9:50 am didn... [R]  Open      24 Mar, 26     #11978768
  i have an issue with driver 9:14 am didn... [R]  Open      24 Mar, 26     #11978410
  i had an issue with driver 9:05 am didn'... [R]  Open      24 Mar, 26     #11978297
  i had an issue with driver 9:01 am drivi... [R]  Open      24 Mar, 26     #11978250
  i had an issue with driver 8:45 am drivi... [R]  Open      24 Mar, 26     #11977953
  i had an issue with driver 8:11 am drivi... [R]  Open      24 Mar, 26     #11977010
  i had an issue with driver 8:08 am drivi... [R]  Open      24 Mar, 26     #11976928
  i had an issue with driver 7:47 am drivi... [R]  Open      24 Mar, 26     #11976126
  i had an issue with driver 10:55 pm driv... [R]  Open      23 Mar, 26     #11972619
  i had an issue with driver 10:29 pm driv... [R]  Open      23 Mar, 26     #11972272
  i had an issue with driver 6:52 pm didn'...      Open      23 Mar, 26     #11969669
  i had an issue with driver 6:38 pm didn'... [R]  Open      23 Mar, 26     #11969461
  bus quality and hygiene issue 5:59 pm bu... [R]  Open      23 Mar, 26     #11968709
  i had an issue with driver 1:49 pm other... [R]  Open      23 Mar, 26     #11965009
  i had an issue with driver 12:56 pm othe... [R]  Open      23 Mar, 26     #11964541
  i had an issue with driver 12:33 pm didn... [R]  Open      23 Mar, 26     #11964423
  i had an issue with driver 12:14 pm didn... [R]  Open      23 Mar, 26     #11964289
  i had an issue with driver 10:50 am othe... [R]  Open      23 Mar, 26     #11963591
  i had an issue with driver 10:39 am othe... [R]  Open      23 Mar, 26     #11963500
  i had an issue with driver 8:07 am drivi...      Open      23 Mar, 26     #11961523
  i had an issue with driver 1:58 am didn'... [R]  Open      22 Mar, 26     #11959647
  i had an issue with driver 3:20 pm drivi... [R]  Open      22 Mar, 26     #11956999
  i had an issue with driver 12:23 pm beha... [R]  Open      20 Mar, 26     #11950806
  i had an issue with driver 11:07 am driv... [R]  Open      20 Mar, 26     #11950457
  i had an issue with driver 9:10 am other... [R]  Open      20 Mar, 26     #11949804
  i had an issue with driver 8:17 am behav...      Open      20 Mar, 26     #11949363
  i have an issue with driver 7:37 pm didn...      Open      19 Mar, 26     #11945792
  i had an issue with driver 4:47 pm behav... [R]  Open      19 Mar, 26     #11944820
  i had an issue with driver 9:46 pm behav... [R]  Open      18 Mar, 26     #11941429
  i had an issue with driver 9:03 pm didn'... [R]  Open      18 Mar, 26     #11941159
  i had an issue with driver 8:26 pm other... [R]  Open      18 Mar, 26     #11940893
  i had an issue with driver 7:01 pm drivi... [R]  Open      18 Mar, 26     #11939995
  i had an issue with driver 6:57 pm other... [R]  Open      18 Mar, 26     #11939925
  i had an issue with driver 6:45 pm behav... [R]  Open      18 Mar, 26     #11939758
  i had an issue with driver 6:18 pm behav... [R]  Open      18 Mar, 26     #11939322
  i had an issue with driver 3:26 pm drivi... [R]  Open      18 Mar, 26     #11936501
  i had an issue with driver 8:36 am drivi... [R]  Open      18 Mar, 26     #11932859
  i had an issue with driver 10:56 pm driv... [R]  Open      17 Mar, 26     #11928051
  i had an issue with driver 9:25 pm drivi... [R]  Open      17 Mar, 26     #11926851
  i have an issue with driver 7:38 am didn...      Open      17 Mar, 26     #11915424
  i had an issue with driver 6:30 pm other... [R]  Open      16 Mar, 26     #11908613
  suggestions: route, timing, stop 4:16 pm... [R]  Open      16 Mar, 26     #11905809
  main menu 5:52 pm 5:59 pm we had an unsc...      Open      02 Mar, 26     #11773120

  Ticket IDs:
  #12009554   #12009366   #12009335   #12008878   #12008161   #12007038   #12005011   #12004951
  #12004153   #12004004   #12003715   #12003644   #12003397   #12003365   #12003278   #12003124
  #12002004   #12000095   #11999901   #11999573   #11998662   #11998389   #11995770   #11994904
  #11994690   #11994352   #11994302   #11994223   #11994077   #11993955   #11993787   #11993764
  #11992489   #11989591   #11988360   #11988009   #11987691   #11987611   #11987204   #11987078
  #11986362   #11986101   #11984857   #11980423   #11979974   #11979677   #11979662   #11979062
  #11979031   #11978816   #11978768   #11978410   #11978297   #11978250   #11977953   #11977010
  #11976928   #11976126   #11972619   #11972272   #11969669   #11969461   #11968709   #11965009
  #11964541   #11964423   #11964289   #11963591   #11963500   #11961523   #11959647   #11956999
  #11950806   #11950457   #11949804   #11949363   #11945792   #11944820   #11941429   #11941159
  #11940893   #11939995   #11939925   #11939758   #11939322   #11936501   #11932859   #11928051
