Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  #11993165   #11993097   #11989594   #11985678   #11982671   #11982215   #11981965   #11978761
  #11971239   #11970491   #11970477   #11962581   #11961198   #11939453   #11934220   #11932522
  #11930135   #11926870   #11924704   #11917527   #11916031   #11887023   #11876721   #11858551
  #11857214   #11851919   #11836328   #11834800   #11826455   #11826374   #11817129   #11754199

========================================================================
  SEAT / HARDWARE ISSUE  [AUTO-CLOSE]  --  88 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  my seat had a problem 10:43 am recliner ... [R]  Open      26 Mar, 26     #12009252
  my seat had a problem 9:54 am slider was... [R]  Open      26 Mar, 26     #12008850
  my seat had a problem 9:13 am footrest w... [R]  Open      26 Mar, 26     #12008454
  my seat has a problem 8:26 am recliner i... [R]  Open      26 Mar, 26     #12007793
  my seat has a problem 8:20 am recliner i...      Open      26 Mar, 26     #12007705
  my seat had a problem 11:15 pm slider wa... [R]  Open      25 Mar, 26     #12004606
  my seat had a problem 10:48 pm recliner ... [R]  Open      25 Mar, 26     #12004303
  my seat had a problem 10:16 pm recliner ... [R]  Open      25 Mar, 26     #12003863
  my seat had a problem 9:50 pm recliner w... [R]  Open      25 Mar, 26     #12003458
  my seat had a problem 9:44 pm recliner w... [R]  Open      25 Mar, 26     #12003377
  my seat had a problem 8:51 pm recliner w... [R]  Open      25 Mar, 26     #12002723
  bus quality and hygiene issue 8:28 pm ma... [R]  Open      25 Mar, 26     #12002491
  my seat has a problem 8:27 pm charging p... [R]  Open      25 Mar, 26     #12002481
  my seat had a problem 7:20 pm recliner w...      Open      25 Mar, 26     #12001680
  my seat has a problem 6:47 pm 6:47 pm se...      Open      25 Mar, 26     #12001164
  my seat has a problem 6:38 pm slider is ...      Open      25 Mar, 26     #12001003
  my seat had a problem 6:04 pm recliner w...      Open      25 Mar, 26     #12000366
  my seat has a problem 5:15 pm recliner i...      Open      25 Mar, 26     #11999289
  my seat had a problem 4:40 pm slider was... [R]  Open      25 Mar, 26     #11998550
  my seat has a problem 4:29 pm recliner i... [R]  Open      25 Mar, 26     #11998362
  my seat had a problem 3:15 pm recliner w... [R]  Open      25 Mar, 26     #11997177
  my seat had a problem 2:28 pm footrest w... [R]  Open      25 Mar, 26     #11996678
  my seat had a problem 10:51 am slider wa... [R]  Open      25 Mar, 26     #11995013
  my seat had a problem 10:35 am recliner ... [R]  Open      25 Mar, 26     #11994870
  my seat had a problem 9:50 am footrest w... [R]  Open      25 Mar, 26     #11994401
  my seat has a problem 8:30 am recliner i...      Open      25 Mar, 26     #11993254
  my seat has a problem 8:04 am recliner i... [R]  Open      25 Mar, 26     #11992669
  my seat has a problem 7:47 am slider is ...      Open      25 Mar, 26     #11992211
  my seat had a problem 7:36 am slider was... [R]  Open      25 Mar, 26     #11991881
  my seat had a problem 6:56 am recliner w... [R]  Open      25 Mar, 26     #11990689
  my seat had a problem 11:31 pm recliner ... [R]  Open      24 Mar, 26     #11989066
  my seat had a problem 10:36 pm slider wa... [R]  Open      24 Mar, 26     #11988364
  my seat has a problem 8:49 pm slider is ...      Open      24 Mar, 26     #11987000
  my seat had a problem 7:35 pm seat pocke... [R]  Open      24 Mar, 26     #11986117
  my seat has a problem 6:36 pm handrest i...      Open      24 Mar, 26     #11985195
  my seat has a problem 5:13 pm slider is ...      Open      24 Mar, 26     #11983364
  my seat has a problem 10:43 am recliner ...      Open      24 Mar, 26     #11979220
  my seat had a problem 9:48 am slider was... [R]  Open      24 Mar, 26     #11978734
  my seat has a problem 9:32 am recliner i... [R]  Open      24 Mar, 26     #11978602
  my seat has a problem 9:15 am recliner i... [R]  Open      24 Mar, 26     #11978435
  my seat had a problem 8:20 am recliner w... [R]  Open      24 Mar, 26     #11977293
  my seat has a problem 8:19 am handrest i... [R]  Open      24 Mar, 26     #11977277
  my seat has a problem 7:40 am recliner i... [R]  Open      24 Mar, 26     #11975853
  my seat had a problem 10:38 pm slider wa... [R]  Open      23 Mar, 26     #11972391
  my seat had a problem 10:34 pm seat pock... [R]  Open      23 Mar, 26     #11972332
  my seat had a problem 6:09 pm slider was... [R]  Open      23 Mar, 26     #11968943
  my seat had a problem 5:25 pm slider was... [R]  Open      23 Mar, 26     #11968065
  my seat had a problem 1:10 pm main menu ... [R]  Open      23 Mar, 26     #11964660
  my seat had a problem 11:19 am slider wa... [R]  Open      23 Mar, 26     #11963860
  my seat had a problem 11:15 am slider wa... [R]  Open      23 Mar, 26     #11963829
  my seat had a problem 11:04 am recliner ... [R]  Open      23 Mar, 26     #11963729
  my seat has a problem 8:12 am seat pocke...      Open      23 Mar, 26     #11961718
  my seat had a problem 11:04 pm slider wa... [R]  Open      22 Mar, 26     #11959032
  my seat had a problem 10:15 pm footrest ... [R]  Open      22 Mar, 26     #11958721
  my seat had a problem 7:22 pm recliner w... [R]  Open      22 Mar, 26     #11957782
  my seat had a problem 6:01 pm handrest w... [R]  Open      20 Mar, 26     #11953271
  my seat had a problem 11:46 am slider wa... [R]  Open      20 Mar, 26     #11950628
  my seat has a problem 7:57 am handrest i... [R]  Open      20 Mar, 26     #11949094
  bus quality and hygiene issue 9:47 pm ma...      Open      18 Mar, 26     #11941439
  my seat had a problem 8:24 pm seat pocke... [R]  Open      18 Mar, 26     #11940878
  my seat has a problem 6:46 pm recliner i...      Open      18 Mar, 26     #11939768
  my seat had a problem 4:49 pm recliner w... [R]  Open      18 Mar, 26     #11937651
  my seat had a problem 4:39 pm slider was... [R]  Open      18 Mar, 26     #11937480
  my seat had a problem 3:53 pm recliner w... [R]  Open      18 Mar, 26     #11936806
  my seat had a problem 3:06 pm footrest w... [R]  Open      18 Mar, 26     #11936265
  my seat had a problem 10:38 am recliner ... [R]  Open      18 Mar, 26     #11934224
  my seat has a problem 9:21 am handrest i... [R]  Open      18 Mar, 26     #11933536
  my seat has a problem 8:48 am seat pocke... [R]  Open      18 Mar, 26     #11933052
  my seat had a problem 6:58 am recliner w... [R]  Open      18 Mar, 26     #11930070
  my seat had a problem 10:17 pm recliner ... [R]  Open      17 Mar, 26     #11927519
  my seat had a problem 7:59 pm handrest w... [R]  Open      17 Mar, 26     #11925937
  my seat had a problem 6:28 pm slider was... [R]  Open      17 Mar, 26     #11924630
  my seat has a problem 4:57 pm recliner i... [R]  Open      17 Mar, 26     #11922264
  my seat has a problem 9:08 am recliner i... [R]  Open      17 Mar, 26     #11917558
  my seat has a problem 8:12 am recliner i... [R]  Open      17 Mar, 26     #11916439
  my seat had a problem 10:38 pm slider wa... [R]  Open      16 Mar, 26     #11911884
  my seat had a problem 5:20 pm recliner w... [R]  Open      16 Mar, 26     #11907121
  my seat had a problem 12:10 am main menu... [R]  Open      15 Mar, 26     #11898360
  my seat has a problem 5:49 pm seat pocke...      Open      12 Mar, 26     #11877628
  my seat had a problem 6:48 pm recliner w... [R]  Open      11 Mar, 26     #11863830
  my seat had a problem 7:40 am recliner w... [R]  Open      11 Mar, 26     #11854972
  my seat has a problem 7:43 am handrest i...      Open      10 Mar, 26     #11839657
  my seat had a problem 10:21 am recliner ... [R]  Open      09 Mar, 26     #11826797
  my seat had a problem 3:38 pm footrest w... [R]  Open      06 Mar, 26     #11813764
  my seat had a problem 7:42 am seat pocke... [R]  Open      05 Mar, 26     #11795583
  my seat had a problem 10:49 am footrest ... [R]  Open      04 Mar, 26     #11785299
  my seat had a problem 3:47 pm recliner w... [R]  Open      03 Mar, 26     #11778704
  my seat had a problem 3:37 pm recliner w... [R]  Open      25 Feb, 26     #11729397

  Ticket IDs:
  #12009252   #12008850   #12008454   #12007793   #12007705   #12004606   #12004303   #12003863
  #12003458   #12003377   #12002723   #12002491   #12002481   #12001680   #12001164   #12001003
  #12000366   #11999289   #11998550   #11998362   #11997177   #11996678   #11995013   #11994870
  #11994401   #11993254   #11992669   #11992211   #11991881   #11990689   #11989066   #11988364
  #11987000   #11986117   #11985195   #11983364   #11979220   #11978734   #11978602   #11978435
  #11977293   #11977277   #11975853   #11972391   #11972332   #11968943   #11968065   #11964660
  #11963860   #11963829   #11963729   #11961718   #11959032   #11958721   #11957782   #11953271
  #11950628   #11949094   #11941439   #11940878   #11939768   #11937651   #11937480   #11936806
  #11936265   #11934224   #11933536   #11933052   #11930070   #11927519   #11925937   #11924630
  #11922264   #11917558   #11916439   #11911884   #11907121   #11898360   #11877628   #11863830
  #11854972   #11839657   #11826797   #11813764   #11795583   #11785299   #11778704   #11729397

========================================================================
  BUS QUALITY / HYGIENE  [AUTO-CLOSE]  --  193 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  bus quality and hygiene issue 11:02 am f... [R]  Open      26 Mar, 26     #12009413
  bus quality and hygiene issue 9:31 am fl... [R]  Open      26 Mar, 26     #12008645
  bus quality and hygiene issue 9:02 am bu...      Open      26 Mar, 26     #12008338
  bus quality and hygiene issue 9:02 am fl...      Open      26 Mar, 26     #12008332
  bus quality and hygiene issue 8:38 am fl... [R]  Open      26 Mar, 26     #12007991
  bus quality and hygiene issue 7:44 am bu...      Open      26 Mar, 26     #12007042
  bus quality and hygiene issue 7:31 am bu... [R]  Open      26 Mar, 26     #12006745
  bus quality and hygiene issue 7:27 am bu...      Open      26 Mar, 26     #12006678
  bus quality and hygiene issue 7:29 am bu...      Open      26 Mar, 26     #12006663
  bus quality and hygiene issue 6:22 am bu... [R]  Open      26 Mar, 26     #12005738
  bus quality and hygiene issue 6:15 am bu... [R]  Open      26 Mar, 26     #12005696
  bus quality and hygiene issue 9:59 pm bu... [R]  Open      25 Mar, 26     #12003567
  bus quality and hygiene issue 9:17 pm bu...      Open      25 Mar, 26     #12003030
  bus quality and hygiene issue 8:02 pm bu... [R]  Open      25 Mar, 26     #12002185
  bus quality and hygiene issue 5:46 pm bu... [R]  Open      25 Mar, 26     #11999983
  bus quality and hygiene issue 5:32 pm bu...      Open      25 Mar, 26     #11999693
  bus quality and hygiene issue 4:59 pm bu... [R]  Open      25 Mar, 26     #11998900
  bus quality and hygiene issue 4:44 pm bu... [R]  Open      25 Mar, 26     #11998624
  bus quality and hygiene issue 4:29 pm bu...      Open      25 Mar, 26     #11998340
  bus quality and hygiene issue 4:18 pm bu... [R]  Open      25 Mar, 26     #11998133
  bus quality and hygiene issue 3:12 pm fl... [R]  Open      25 Mar, 26     #11997137
  bus quality and hygiene issue 2:19 pm bu... [R]  Open      25 Mar, 26     #11996572
  bus quality and hygiene issue 10:14 am b... [R]  Open      25 Mar, 26     #11994675
  bus quality and hygiene issue 10:00 am b... [R]  Open      25 Mar, 26     #11994509
  bus quality and hygiene issue 9:46 am bu... [R]  Open      25 Mar, 26     #11994358
  bus quality and hygiene issue 9:43 am bu... [R]  Open      25 Mar, 26     #11994327
  bus quality and hygiene issue 8:59 am bu... [R]  Open      25 Mar, 26     #11993803
  bus quality and hygiene issue 8:48 am fl...      Open      25 Mar, 26     #11993610
  bus quality and hygiene issue 8:32 am bu... [R]  Open      25 Mar, 26     #11993322
  bus quality and hygiene issue 8:04 am bu... [R]  Open      25 Mar, 26     #11992685
  bus quality and hygiene issue 7:54 am bu... [R]  Open      25 Mar, 26     #11992415
  bus quality and hygiene issue 7:52 am bu... [R]  Open      25 Mar, 26     #11992350
  bus quality and hygiene issue 7:49 am bu... [R]  Open      25 Mar, 26     #11992270
  bus quality and hygiene issue 7:49 am bu... [R]  Open      25 Mar, 26     #11992260
  bus quality and hygiene issue 7:47 am bu... [R]  Open      25 Mar, 26     #11992208
  main menu 6:57 am bus quality and hygien... [R]  Open      25 Mar, 26     #11990563
  bus quality and hygiene issue 6:50 am fl...      Open      25 Mar, 26     #11990562
  bus quality and hygiene issue 6:17 am bu... [R]  Open      25 Mar, 26     #11990116
  bus quality and hygiene issue 12:30 am b... [R]  Open      24 Mar, 26     #11989524
  bus quality and hygiene issue 11:45 pm b... [R]  Open      24 Mar, 26     #11989212
  bus quality and hygiene issue 11:34 pm b... [R]  Open      24 Mar, 26     #11989099
  bus quality and hygiene issue 11:33 pm b... [R]  Open      24 Mar, 26     #11989092
  bus quality and hygiene issue 10:37 pm b... [R]  Open      24 Mar, 26     #11988385
  bus quality and hygiene issue 10:25 pm b... [R]  Open      24 Mar, 26     #11988210
  bus quality and hygiene issue 9:17 pm fl... [R]  Open      24 Mar, 26     #11987336
  bus quality and hygiene issue 6:54 pm bu...      Open      24 Mar, 26     #11985515
  bus quality and hygiene issue 6:08 pm bu... [R]  Open      24 Mar, 26     #11984580
  bus quality and hygiene issue 6:00 pm bu...      Open      24 Mar, 26     #11984393
  bus quality and hygiene issue 5:58 pm bu...      Open      24 Mar, 26     #11984347
  bus quality and hygiene issue 5:31 pm fl...      Open      24 Mar, 26     #11983775
  bus quality and hygiene issue 3:33 pm bu... [R]  Open      24 Mar, 26     #11981615
  bus quality and hygiene issue 1:45 pm bu... [R]  Open      24 Mar, 26     #11980565
  bus quality and hygiene issue 12:22 pm b... [R]  Open      24 Mar, 26     #11979999
  bus quality and hygiene issue 11:53 am b... [R]  Open      24 Mar, 26     #11979785
  bus quality and hygiene issue 11:42 am w... [R]  Open      24 Mar, 26     #11979709
  bus quality and hygiene issue 11:04 am b... [R]  Open      24 Mar, 26     #11979409
  bus quality and hygiene issue 9:59 am bu... [R]  Open      24 Mar, 26     #11978852
  bus quality and hygiene issue 9:13 am bu... [R]  Open      24 Mar, 26     #11978408
  the bus door is non functional                  Open      24 Mar, 26     #11977684
  bus quality and hygiene issue 8:23 am bu...      Open      24 Mar, 26     #11977429
  bus quality and hygiene issue 8:20 am bu... [R]  Open      24 Mar, 26     #11977311
  bus quality and hygiene issue 7:59 am bu... [R]  Open      24 Mar, 26     #11976562
  bus quality and hygiene issue 7:24 am bu... [R]  Open      24 Mar, 26     #11975372
  bus quality and hygiene issue 7:14 am bu... [R]  Open      24 Mar, 26     #11975062
  bus quality and hygiene issue 6:26 am bu... [R]  Open      24 Mar, 26     #11974167
  bus quality and hygiene issue 11:44 pm b... [R]  Open      23 Mar, 26     #11973196
  bus quality and hygiene issue 10:48 pm b... [R]  Open      23 Mar, 26     #11972541
  bus quality and hygiene issue 10:03 pm b... [R]  Open      23 Mar, 26     #11971911
  bus quality and hygiene issue 9:35 pm fl... [R]  Open      23 Mar, 26     #11971561
  bus quality and hygiene issue 9:34 pm bu... [R]  Open      23 Mar, 26     #11971545
  bus quality and hygiene issue 9:02 pm fl... [R]  Open      23 Mar, 26     #11971221
  bus quality and hygiene issue 8:50 pm bu... [R]  Open      23 Mar, 26     #11971121
  bus quality and hygiene issue 7:44 pm bu...      Open      23 Mar, 26     #11970395
  bus quality and hygiene issue 6:59 pm bu...      Open      23 Mar, 26     #11969788
  bus quality and hygiene issue 6:57 pm bu...      Open      23 Mar, 26     #11969750
  bus quality and hygiene issue 6:56 pm bu...      Open      23 Mar, 26     #11969730
  bus quality and hygiene issue 6:23 pm ca... [R]  Open      23 Mar, 26     #11969194
  bus quality and hygiene issue 4:49 pm bu... [R]  Open      23 Mar, 26     #11967384
  bus quality and hygiene issue 2:50 pm fl... [R]  Open      23 Mar, 26     #11965877
  bus quality and hygiene issue 2:22 pm fl... [R]  Open      23 Mar, 26     #11965482
  bus quality and hygiene issue 2:15 pm bu... [R]  Open      23 Mar, 26     #11965393
  bus quality and hygiene issue 2:05 pm fl... [R]  Open      23 Mar, 26     #11965180
  bus quality and hygiene issue 11:12 am b... [R]  Open      23 Mar, 26     #11963795
  bus quality and hygiene issue 10:56 am b... [R]  Open      23 Mar, 26     #11963658
  bus quality and hygiene issue 9:31 am bu... [R]  Open      23 Mar, 26     #11962877
  bus quality and hygiene issue 9:18 am bu...      Open      23 Mar, 26     #11962721
  bus quality and hygiene issue 8:56 am bu... [R]  Open      23 Mar, 26     #11962448
  bus quality and hygiene issue 8:55 am bu... [R]  Open      23 Mar, 26     #11962430
  bus quality and hygiene issue 8:12 am      [R]  Open      23 Mar, 26     #11961194
  bus quality and hygiene issue 7:58 am fl... [R]  Open      23 Mar, 26     #11961144
  bus quality and hygiene issue 7:57 am bu...      Open      23 Mar, 26     #11961103
  bus quality and hygiene issue 7:54 am bu... [R]  Open      23 Mar, 26     #11961039
  bus quality and hygiene issue 7:51 am bu... [R]  Open      23 Mar, 26     #11960979
  bus quality and hygiene issue 5:26 pm bu... [R]  Open      22 Mar, 26     #11957278
  bus quality and hygiene issue 11:16 am f... [R]  Open      22 Mar, 26     #11956478
  bus quality and hygiene issue 6:49 pm bu... [R]  Open      21 Mar, 26     #11955767
  bus quality and hygiene issue 4:54 pm bu... [R]  Open      20 Mar, 26     #11952494
  bus quality and hygiene issue 4:35 pm bu... [R]  Open      20 Mar, 26     #11952303
  bus quality and hygiene issue 11:39 am b... [R]  Open      20 Mar, 26     #11950603
  bus quality and hygiene issue 10:56 am b... [R]  Open      20 Mar, 26     #11950384
  bus quality and hygiene issue 10:52 am b...      Open      20 Mar, 26     #11950354
  main menu 9:04 am bus quality and hygien... [R]  Open      20 Mar, 26     #11949702
  bus quality and hygiene issue 8:54 am bu... [R]  Open      20 Mar, 26     #11949686
  bus quality and hygiene issue 7:57 am wa...      Open      20 Mar, 26     #11949096
  bus quality and hygiene issue 7:52 am bu... [R]  Open      20 Mar, 26     #11949029
  bus quality and hygiene issue 7:46 am fl...      Open      20 Mar, 26     #11948944
  bus quality and hygiene issue 7:30 am fl... [R]  Open      20 Mar, 26     #11948715
  bus quality and hygiene issue 7:24 am fl... [R]  Open      20 Mar, 26     #11948643
  bus quality and hygiene issue 11:11 pm b... [R]  Open      19 Mar, 26     #11947520
  bus quality and hygiene issue 1:48 pm bu... [R]  Open      19 Mar, 26     #11944252
  bus quality and hygiene issue 11:18 pm m...      Open      18 Mar, 26     #11941995
  bus quality and hygiene issue 9:31 pm fl... [R]  Open      18 Mar, 26     #11941337
  bus quality and hygiene issue 8:16 pm bu... [R]  Open      18 Mar, 26     #11940804
  bus quality and hygiene issue 7:03 pm bu... [R]  Open      18 Mar, 26     #11940024
  bus quality and hygiene issue 4:40 pm fl... [R]  Open      18 Mar, 26     #11937498
  bus quality and hygiene issue 12:53 pm b... [R]  Open      18 Mar, 26     #11935141
  bus quality and hygiene issue 11:45 am b... [R]  Open      18 Mar, 26     #11934708
  bus quality and hygiene issue 10:32 am b... [R]  Open      18 Mar, 26     #11934186
  bus quality and hygiene issue 9:11 am bu...      Open      18 Mar, 26     #11933424
  bus quality and hygiene issue 9:50 pm bu... [R]  Open      17 Mar, 26     #11927164
  bus quality and hygiene issue 9:26 pm bu... [R]  Open      17 Mar, 26     #11926862
  bus quality and hygiene issue 9:25 pm bu... [R]  Open      17 Mar, 26     #11926853
  bus quality and hygiene issue 9:24 pm bu... [R]  Open      17 Mar, 26     #11926839
  bus quality and hygiene issue 8:54 pm bu... [R]  Open      17 Mar, 26     #11926525
  bus quality and hygiene issue 8:49 pm bu... [R]  Open      17 Mar, 26     #11926474
  bus quality and hygiene issue 7:00 pm bu... [R]  Open      17 Mar, 26     #11925157
  bus quality and hygiene issue 5:42 pm bu... [R]  Open      17 Mar, 26     #11923646
  bus quality and hygiene issue 5:20 pm bu... [R]  Open      17 Mar, 26     #11922882
  bus quality and hygiene issue 1:58 pm bu... [R]  Open      17 Mar, 26     #11919742
  bus quality and hygiene issue 9:23 am bu...      Open      17 Mar, 26     #11917755
  bus quality and hygiene issue 9:18 am bu...      Open      17 Mar, 26     #11917692
  bus quality and hygiene issue 8:48 am bu... [R]  Open      17 Mar, 26     #11917239
  bus quality and hygiene issue 8:28 am wa... [R]  Open      17 Mar, 26     #11916857
  bus quality and hygiene issue 8:14 am bu... [R]  Open      17 Mar, 26     #11916510
  bus quality and hygiene issue 8:05 am bu... [R]  Open      17 Mar, 26     #11916282
  bus quality and hygiene issue 8:02 am bu... [R]  Open      17 Mar, 26     #11916187
  bus quality and hygiene issue 7:42 am bu...      Open      17 Mar, 26     #11915543
  bus quality and hygiene issue 7:21 am fl... [R]  Open      17 Mar, 26     #11914852
  bus quality and hygiene issue 7:09 am bu... [R]  Open      17 Mar, 26     #11914416
  bus quality and hygiene issue 6:15 am bu... [R]  Open      17 Mar, 26     #11913489
  bus quality and hygiene issue 11:33 pm w... [R]  Open      16 Mar, 26     #11912511
  bus quality and hygiene issue 11:30 pm b... [R]  Open      16 Mar, 26     #11912479
  bus quality and hygiene issue 8:49 pm bu... [R]  Open      16 Mar, 26     #11910491
  bus quality and hygiene issue 8:09 pm bu... [R]  Open      16 Mar, 26     #11910047
  bus quality and hygiene issue 5:55 pm ma... [R]  Open      16 Mar, 26     #11907863
  bus quality and hygiene issue 10:30 am b...      Open      16 Mar, 26     #11902706
  bus quality and hygiene issue 9:29 am bu... [R]  Open      16 Mar, 26     #11902023
  bus quality and hygiene issue 7:48 am wa...      Open      16 Mar, 26     #11900290
  bus quality and hygiene issue 7:40 am bu... [R]  Open      16 Mar, 26     #11900104
  bus quality and hygiene issue 7:00 am wa... [R]  Open      16 Mar, 26     #11899246
  bus quality and hygiene issue 6:16 am wa... [R]  Open      14 Mar, 26     #11893137
  bus quality and hygiene issue 11:00 pm b... [R]  Open      13 Mar, 26     #11892892
  bus quality and hygiene issue 7:12 pm bu... [R]  Open      13 Mar, 26     #11891930
  bus quality and hygiene issue 12:46 pm b... [R]  Open      13 Mar, 26     #11887813
  bus quality and hygiene issue 11:50 am b... [R]  Open      13 Mar, 26     #11887510
  bus quality and hygiene issue 11:16 am b... [R]  Open      13 Mar, 26     #11887320
  bus quality and hygiene issue 9:13 am bu... [R]  Open      13 Mar, 26     #11886291
  bus quality and hygiene issue 7:33 am bu...      Open      13 Mar, 26     #11884355
  bus quality and hygiene issue 6:51 am bu... [R]  Open      13 Mar, 26     #11883228
  bus quality and hygiene issue 6:08 am bu... [R]  Open      13 Mar, 26     #11882798
  bus quality and hygiene issue 11:54 pm b... [R]  Open      12 Mar, 26     #11882132
  bus quality and hygiene issue 8:33 pm bu... [R]  Open      12 Mar, 26     #11879935
  bus quality and hygiene issue 5:20 pm bu... [R]  Open      12 Mar, 26     #11876884
  bus quality and hygiene issue 1:58 pm bu... [R]  Open      12 Mar, 26     #11874227
  bus quality and hygiene issue 9:38 am bu... [R]  Open      12 Mar, 26     #11872255
  bus quality and hygiene issue 10:27 pm b... [R]  Open      11 Mar, 26     #11866343
  bus quality and hygiene issue 8:16 pm bu... [R]  Open      11 Mar, 26     #11864901
  bus quality and hygiene issue 5:53 pm bu... [R]  Open      11 Mar, 26     #11862797
  bus quality and hygiene issue 1:08 pm bu... [R]  Open      11 Mar, 26     #11859072
  bus quality and hygiene issue 10:45 am b... [R]  Open      11 Mar, 26     #11858002
  bus quality and hygiene issue 9:31 am bu...      Open      11 Mar, 26     #11857261
  bus quality and hygiene issue 8:35 am bu... [R]  Open      11 Mar, 26     #11856435
  bus quality and hygiene issue 7:16 am bu...      Open      11 Mar, 26     #11854207
  bus quality and hygiene issue 8:45 pm bu...      Open      10 Mar, 26     #11849969
  bus quality and hygiene issue 8:04 pm bu... [R]  Open      10 Mar, 26     #11849532
  bus quality and hygiene issue 5:28 pm bu... [R]  Open      10 Mar, 26     #11846727
  bus quality and hygiene issue 4:23 pm bu... [R]  Open      10 Mar, 26     #11845442
  bus quality and hygiene issue 8:18 am bu... [R]  Open      10 Mar, 26     #11840573
  bus quality and hygiene issue 7:40 am bu...      Open      10 Mar, 26     #11839548
  bus quality and hygiene issue 12:05 am b... [R]  Open      09 Mar, 26     #11836853
  bus quality and hygiene issue 11:29 pm b... [R]  Open      09 Mar, 26     #11836537
  bus quality and hygiene issue 11:14 pm b... [R]  Open      09 Mar, 26     #11836391
  bus quality and hygiene issue 12:17 pm b... [R]  Open      09 Mar, 26     #11827718
  bus quality and hygiene issue 9:32 am ma... [R]  Open      09 Mar, 26     #11826335
  bus quality and hygiene issue 9:12 am bu... [R]  Open      05 Mar, 26     #11797192
  bus quality and hygiene issue 6:51 am bu... [R]  Open      05 Mar, 26     #11794281
  bus quality and hygiene issue 9:21 pm bu... [R]  Open      04 Mar, 26     #11791447
  bus quality and hygiene issue 2:55 pm bu... [R]  Open      04 Mar, 26     #11786869
  bus quality and hygiene issue 11:32 am b... [R]  Open      04 Mar, 26     #11785594
  bus quality and hygiene issue 10:54 pm b... [R]  Open      03 Mar, 26     #11781586
  bus quality and hygiene issue 4:34 pm bu... [R]  Open      02 Mar, 26     #11771825
  bus quality and hygiene issue 11:22 pm b... [R]  Open      27 Feb, 26     #11760363
  bus quality and hygiene issue 9:08 am bu... [R]  Open      25 Feb, 26     #11726229

  Ticket IDs:
  #12009413   #12008645   #12008338   #12008332   #12007991   #12007042   #12006745   #12006678
  #12006663   #12005738   #12005696   #12003567   #12003030   #12002185   #11999983   #11999693
  #11998900   #11998624   #11998340   #11998133   #11997137   #11996572   #11994675   #11994509
  #11994358   #11994327   #11993803   #11993610   #11993322   #11992685   #11992415   #11992350
  #11992270   #11992260   #11992208   #11990563   #11990562   #11990116   #11989524   #11989212
  #11989099   #11989092   #11988385   #11988210   #11987336   #11985515   #11984580   #11984393
  #11984347   #11983775   #11981615   #11980565   #11979999   #11979785   #11979709   #11979409
  #11978852   #11978408   #11977684   #11977429   #11977311   #11976562   #11975372   #11975062
  #11974167   #11973196   #11972541   #11971911   #11971561   #11971545   #11971221   #11971121
  #11970395   #11969788   #11969750   #11969730   #11969194   #11967384   #11965877   #11965482
  #11965393   #11965180   #11963795   #11963658   #11962877   #11962721   #11962448   #11962430
  #11961194   #11961144   #11961103   #11961039   #11960979   #11957278   #11956478   #11955767
  #11952494   #11952303   #11950603   #11950384   #11950354   #11949702   #11949686   #11949096
  #11949029   #11948944   #11948715   #11948643   #11947520   #11944252   #11941995   #11941337
  #11940804   #11940024   #11937498   #11935141   #11934708   #11934186   #11933424   #11927164
  #11926862   #11926853   #11926839   #11926525   #11926474   #11925157   #11923646   #11922882
  #11919742   #11917755   #11917692   #11917239   #11916857   #11916510   #11916282   #11916187
  #11915543   #11914852   #11914416   #11913489   #11912511   #11912479   #11910491   #11910047
  #11907863   #11902706   #11902023   #11900290   #11900104   #11899246   #11893137   #11892892
  #11891930   #11887813   #11887510   #11887320   #11886291   #11884355   #11883228   #11882798
  #11882132   #11879935   #11876884   #11874227   #11872255   #11866343   #11864901   #11862797
  #11859072   #11858002   #11857261   #11856435   #11854207   #11849969   #11849532   #11846727
  #11845442   #11840573   #11839548   #11836853   #11836537   #11836391   #11827718   #11826335
  #11797192   #11794281   #11791447   #11786869   #11785594   #11781586   #11771825   #11760363
  #11726229

========================================================================
  TRACKING ISSUE  [AUTO-CLOSE]  --  87 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
