#,Route Name,Departure,First Pickup Stop,Last Pickup Stop
201,Navi Mumbai - Andheri,08:40:00,Balaji Heights,Vashi Highway
202,Palava - PCL (General),08:40:00,Khoni Palava Main gate DFPCL,Khoni Palava Main gate DFPCL
203,Andheri station - Bay99,08:45:00,Andheri Station,Andheri Station
204,BANDRA - BKC (Pfizer) (2),08:45:00,Bandra Station Skywalk (Pfizer),Bandra Station Skywalk (Pfizer)
205,Andheri West - Worli,08:50:00,Shantivan Mhada ,Bisleri Junction
206,Ashok deluxe - Time square,09:00:00,Ashok deluxe apartments UNext,Ashok deluxe apartments UNext
207,Oboroi Splender - Aarey Aqua Metro station,09:00:00,Oberoi Splendor,Aarey JVLR metro station
208,Chembur - Worli,09:10:00,Amar Mahal Junction,Dadar TT Circle
209,CST - NARIMAN POINT,09:10:00,Maxus Mall,Maxus Mall
210,Ghatkopar - BKC,09:10:00,Vikhroli Depot,Postal colony
211,Navi Mumbai - Powai,09:10:00,Balaji Heights,Airoli Circle
212,Belapur station - Mindspace,09:15:00,Belapur station,Belapur station
213,Dadar Station - Lodha Office,09:15:00,Dadar Station,Dadar Station
214,Dadar Station - Lodha Office  (2),09:15:00,Dadar Station,Dadar Station
215,Malad Station - Sony Office (Mindspace Malad),09:15:00,Malad Station,Malad Station
216,Thane kopari station - Centrum IT park,09:15:00,Kopari thane station - Wagle estate ,Kopari thane station - Wagle estate 
217,Andheri Station - Seepz,09:20:00,Andheri Railway Station,Gundavali Bus stop
218,Kalyan - Powai (Emerson),09:20:00,Prem auto emerson,Prem auto emerson
219,Andehri - Powai,09:30:00,Powai Plaza,Powai Plaza
220,Juinagar station - Mindspace,09:30:00,Juinagar Station,Juinagar Station
221,Panvel station To Tulip D1,09:35:00,Panvel Station wadhwa,Panvel Station wadhwa
222,Thane - Powai,09:40:00,Lodha Splendora,Mulund Mhada
223,Vashi station - Mindspace,09:40:00,Raghuleela Mall - Vashi,Raghuleela Mall - Vashi
224,Chembur - South Mumbai,09:45:00,Amar Mahal Junction,Bhakti Park
225,Dadar Station - Lodha Office (3),09:45:00,Dadar Station,Dadar Station
226,Worli - Lower Parel (Metro Loop),09:45:00,Worli Metro Station (Old),Peninsula Corporate Park
227,Chembur - Goregaon East,10:10:00,Swastik Park,Amar Mahal
228,BKC - Metro Loop,10:22:00,BKC Metro Gate A2,Kalanagar
229,Mira Bhayandar - Saki Naka,10:25:00,Maxus Mall,Sai Dham
230,Bhayander station - Solitaire park Andheri,10:30:00,150 feet road (D decor),150 feet road (D decor)
231,Dadar Station - Lodha Office (4),10:30:00,Dadar Station,Dadar Station
232,Aarey  - Powai (Metro Loop),10:40:00,Olympia 1,One South Avenue
233,Dadar station - Lodha Office (5),10:45:00,Dadar Station,Dadar Station
234,Vashi - Worli,10:45:00,Reliance Smart Point,Vashi Gaon 
235,Vithalwadi/Dombivali - K8,11:15:00,Vitthalwadi Station,"Antarli, Khoni-Taloja road"
236,Thane - South Mumbai,11:30:00,Lodha Splendora,RTO Kamraj Nagar
237,JNPT - K1,11:45:00,Pallavi hotel DPFCL,Gavhan Phata DPFCL
238,Nere - K1,11:45:00,"Nere, Panvel Matheran road DFCPL","Navde gaon, panvel DFCPL"
239,Vashi Railway station - K8,11:45:00,New Vashi station DFPCL,Dmart DFPCL
240,Powai - Vikhroli ,12:00:00,Kensington SEZ ,Kensington SEZ 
241,Andheri Station - Cignus,12:05:01,Andheri station east,Andheri station east
242,Dadar - K1,13:00:00,Dadar TT DFPCL,"Kharghar, Sec-7 DFPCL"
243,Wadkhal - K8,13:05:00,Wadkhal bus stand  DPFCL,"Bima complex, Kalamboli DPFCL"
244,CIDCO Thane - K1,13:15:00,"Cidco bus stop, Chendani Koliwada DFPCL","Pendhar phata, Taloja byepass, Panvel road DFPCL"
245,Khopoli - K1,13:15:00,Khopoli Bus stop East DPFCL,"Aspire building, Vijay marg, Sec-6, New Panvel-East DPFCL"
246,Kalyan khadakpada circle - K1,13:20:00,Khadakpada circle DPFCL,Usaatane Gaon DPFCL
247,Andheri station - Cignus (B2B),13:30:00,Andheri station east,Andheri station east
248,Kanjurmarg Station - Cignus (B2B),13:30:00,Kanjur Huma cinema,Kanjur Huma cinema
249,Belapur - Lowe Parel,14:00:00,Lower Parel (ATG),Lower Parel (ATG)
250,Navi mumbai - Event,14:30:00,Balaji Heights,Vashi Highway
251,South Mumbai - DY Patil,14:30:00,N/A,N/A
252,Thane - Event,14:30:00,Lodha Splendora,Mulund Mhada
253,Andheri East - Event,14:40:00,Virwani Estate,"Domestic Airport Junction, Vile Parle East "
254,Tower A1 - Main Gate,15:00:00,Wise City Panvel,Wise City Panvel
255,Vikhroli - Powai (2),16:05:00,Vikkhroli Station,Vikkhroli Station
256,Kanjurmarg Station - Cignus,16:05:01,Kanjur Huma cinema,Kanjur Huma cinema
257,Thane - Worli,16:45:00,"Vijay Sales, Thane","Vijay Sales, Thane"
